"","x"
"493","Erythroid_CD34+ CD71+ GlyA-"
"494","Hematopoietic stem cells_CD133+ CD34dim"
"495","Erythroid_CD34+ CD71+ GlyA-"
"496","Early B cells"
"497","Hematopoietic stem cells_CD133+ CD34dim"
"498","Plasmacytoid Dendritic Cells"
"499","Hematopoietic stem cells_CD133+ CD34dim"
"500","Hematopoietic stem cells_CD133+ CD34dim"
"501","Hematopoietic stem cells_CD133+ CD34dim"
"502","Early B cells"
"503","Hematopoietic stem cells_CD133+ CD34dim"
"504","Early B cells"
"505","Common myeloid progenitors"
"506","Megakaryocyte/erythroid progenitors"
"507","Hematopoietic stem cells_CD133+ CD34dim"
"508","Early B cells"
"509","Hematopoietic stem cells_CD133+ CD34dim"
"510","Hematopoietic stem cells_CD133+ CD34dim"
"511","Megakaryocyte/erythroid progenitors"
"512","Hematopoietic stem cells_CD133+ CD34dim"
"513","Megakaryocyte/erythroid progenitors"
"514","Common myeloid progenitors"
"515","Erythroid_CD34- CD71+ GlyA-"
"516","Common myeloid progenitors"
"517","Hematopoietic stem cells_CD133+ CD34dim"
"518","Colony Forming Unit-Monocytes"
"519","Hematopoietic stem cells_CD133+ CD34dim"
"520","Megakaryocyte/erythroid progenitors"
"521","Plasmacytoid Dendritic Cells"
"522","Hematopoietic stem cells_CD133+ CD34dim"
"523","Common myeloid progenitors"
"524","Myeloid Dendritic Cells"
"525","Hematopoietic stem cells_CD133+ CD34dim"
"526","Erythroid_CD34+ CD71+ GlyA-"
"527","Common myeloid progenitors"
"528","Myeloid Dendritic Cells"
"529","Erythroid_CD34+ CD71+ GlyA-"
"530","Early B cells"
"531","Hematopoietic stem cells_CD133+ CD34dim"
"532","Hematopoietic stem cells_CD133+ CD34dim"
"533","Colony Forming Unit-Megakaryocytic"
"534","Hematopoietic stem cells_CD133+ CD34dim"
"535","Colony Forming Unit-Monocytes"
"536","Hematopoietic stem cells_CD133+ CD34dim"
"537","Hematopoietic stem cells_CD133+ CD34dim"
"538","Hematopoietic stem cells_CD133+ CD34dim"
"539","Hematopoietic stem cells_CD133+ CD34dim"
"540","Plasmacytoid Dendritic Cells"
"541","Early B cells"
"542","Megakaryocyte/erythroid progenitors"
"543","Hematopoietic stem cells_CD133+ CD34dim"
"544","Hematopoietic stem cells_CD133+ CD34dim"
"545","Common myeloid progenitors"
"546","Erythroid_CD34+ CD71+ GlyA-"
"547","Mature B cells class switched"
"548","Megakaryocyte/erythroid progenitors"
"549","Hematopoietic stem cells_CD133+ CD34dim"
"550","Hematopoietic stem cells_CD133+ CD34dim"
"551","Plasmacytoid Dendritic Cells"
"552","Hematopoietic stem cells_CD133+ CD34dim"
"553","Erythroid_CD34+ CD71+ GlyA-"
"554","Common myeloid progenitors"
"555","Common myeloid progenitors"
"556","Colony Forming Unit-Megakaryocytic"
"557","Myeloid Dendritic Cells"
"558","Myeloid Dendritic Cells"
"559","Hematopoietic stem cells_CD133+ CD34dim"
"560","Erythroid_CD34+ CD71+ GlyA-"
"561","Plasmacytoid Dendritic Cells"
"562","Hematopoietic stem cells_CD133+ CD34dim"
"563","Hematopoietic stem cells_CD133+ CD34dim"
"564","Megakaryocyte/erythroid progenitors"
"565","Hematopoietic stem cells_CD133+ CD34dim"
"566","Erythroid_CD34- CD71+ GlyA-"
"567","Hematopoietic stem cells_CD133+ CD34dim"
"568","Plasmacytoid Dendritic Cells"
"569","Mature B cells class switched"
"570","Hematopoietic stem cells_CD133+ CD34dim"
"571","Early B cells"
"572","Megakaryocyte/erythroid progenitors"
